Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-03,297.1392517089844,298.27285345806166,295.9319327986534,295.9872277009902,77709700
2020-01-06,298.2729187011719,298.3558610728196,295.24998004240615,295.3697950655392,55653900
2020-01-07,297.4341735839844,298.180682883535,296.98256105203933,297.7014229007024,40496400
2020-01-08,299.01934814453125,300.24508925384606,297.37886716238296,297.6276942107322,68296000
2020-01-09,301.0469055175781,301.1206508037746,300.0054713233431,300.5953211105716,48473300
2020-01-10,300.1805419921875,301.7933753785369,299.7105353878473,301.6367158856176,53029300
2020-01-13,302.2450866699219,302.25428373831204,300.3742004551012,300.80736268836466,47086800
2020-01-14,301.7842102050781,302.86248888986165,301.2220078828355,301.80263246337364,62832800
2020-01-15,302.46624755859375,303.23117922064836,301.60914833921476,301.69209070312985,72056600
2020-01-16,304.982177734375,304.982177734375,303.6273966532358,303.8578014076773,54050300
2020-01-17,305.9315490722656,306.14350351863925,304.9177621800766,305.7011442388404,95846000
2020-01-21,305.3324890136719,306.14351856728973,304.8901297121286,304.9638468871887,77742400
2020-01-22,305.36932373046875,306.85314537164913,305.2126642058298,306.19877544341773,48914900
2020-01-23,305.7195129394531,306.1342528171938,303.59057490163264,304.7149514167851,51963000
2020-01-24,303.00067138671875,306.4659678598637,301.7011852092894,306.38302552414444,87578400
2020-01-27,298.14385986328125,299.6368787108793,297.3697029839931,297.7106976435567,84062500
2020-01-28,301.26812744140625,302.15287403833787,298.23599226082933,299.5815484786443,63834000
2020-01-29,301.01922607421875,302.8716894662195,300.81646874710634,302.64128469111824,53888900
2020-01-30,301.9962158203125,302.2081983917871,298.1807264128993,298.9364328893423,75491800
2020-01-31,296.5126037597656,301.5262152765022,295.59098440927124,301.3695276116583,113845600
2020-02-03,298.7152099609375,300.5953210000547,297.88575830784004,298.0055733036759,69083000
2020-02-04,303.2680358886719,304.1435854487345,302.03306943724914,302.3556418080927,62573200
2020-02-05,306.77020263671875,306.98218521194485,304.75188214039383,306.22645059653746,65951100
2020-02-06,307.8024597167969,307.9959919171273,306.71492744093933,307.737939608156,50359700
2020-02-07,306.1619567871094,307.8116351595351,305.6089795565665,306.73335627928725,64139400
2020-02-10,308.4475402832031,308.51206038428364,305.2310979294225,305.26797057655267,42070000
2020-02-11,308.9820861816406,310.60411697522704,308.4475312534635,309.8115379014592,54864500
2020-02-12,310.9728088378906,311.18476328486764,310.0603865695281,310.42902867893986,43992700
2020-02-13,310.6409912109375,311.61790539437004,309.2585622956361,309.5350368284611,54501900
2020-02-14,311.1386413574219,311.2584563511328,309.8483801281988,311.05569900614165,64582200
2020-02-18,310.33685302734375,311.20317735243003,308.93597379924495,310.1340956719919,57226200
2020-02-19,311.8206481933594,312.5026374261935,311.02806915256156,311.31376886499675,48814700
2020-02-20,310.5396423339844,312.09718124089915,307.5259291454667,311.2677013491961,74163400
2020-02-21,307.34161376953125,309.48897435964113,306.51213390046263,309.17562717324165,113788200
2020-02-24,297.1485290527344,307.41535418856796,296.06099682287345,297.81209612282277,161088400
2020-02-25,288.144287109375,299.16684677332535,287.2595403994609,298.5493775528194,218913200
2020-02-26,287.0843811035156,293.17627052167495,286.34709699297053,289.55431381198633,194773800
2020-02-27,274.1909484863281,287.1396875294625,274.1909484863281,281.5178045527755,284353500
2020-02-28,273.0389709472656,274.5412150611244,263.1592099084073,266.0715305715117,384975800
2020-03-02,284.86334228515625,284.927862394502,271.38004571152584,274.8361185260001,238703600
2020-03-03,276.7069396972656,289.2409664464348,274.2462321827983,285.241142492212,300139100
2020-03-04,288.33770751953125,288.5589152054471,279.5546795538468,282.12600444507154,176613400
2020-03-05,278.7529602050781,284.29190109101086,276.49500983915436,281.07545879648234,186366800
2020-03-06,274.1448059082031,275.3613498539122,267.48151790557137,270.17262989089846,228667200
2020-03-09,252.7356414794922,261.9149607687108,252.01677963381096,253.7217526407829,309417300
2020-03-10,265.8133544921875,265.90549388830476,252.06278714715043,262.3296359264749,276444100
2020-03-11,252.85546875,259.8413591010637,249.64825144555564,258.69856011907456,255316300
2020-03-12,228.6629180908203,245.75895540480994,228.26661456061527,235.93449231085813,392220700
2020-03-13,248.21051025390625,250.20121126587026,229.04082649348499,242.46881203709913,329566100
2020-03-16,221.0503692626953,236.76396526708146,218.75553240747965,222.27611041521737,297240000
2020-03-17,232.98533630371094,236.0912025668262,218.48827024202149,225.83356231977604,262070500
2020-03-18,221.18858337402344,228.90253071909925,210.1475905248517,217.73251175880432,327597100
2020-03-19,221.65863037109375,227.99016388468704,214.01841333413591,220.49739523309862,289322000
2020-03-20,212.1064453125,226.63313921694242,211.82833088923726,224.83468197806218,347158800
2020-03-23,206.68325805664062,212.92222402531007,202.33544465385114,211.5409455309009,326025200
